"consolidated accounds"
"AMOUNT COLLECTED FOR THE MONTH OF","","EXPENSES FOR THE MONTH OF","","balance"

"APRIL","198331","APRIL","188709","21829"
"MAY","62983","MAY","67230","17582"
"JUNE","54121","JUNE","21569","50134"
"JULY","59801","JULY","43143","44059"
"AUGUST","92002","AUGUST","91613","44448"
"SEPTEMBER","62402","SEPTEMBER","67201","39649"
"OCTOBER","40701","OCTOBER","66755","13595"
"NOVEMBER","168002","NOVEMBER","177388","4209"
"DECEMBER","41100","DECEMBER","62015","29219"
"JANUARY","81901","JANUARY","95387","15733"
"FEBRUARY","43850","FEBRUARY","44273","15310"
"MARCH","53527","MARCH","41436","27401"


"TOTAL RECEIPTS FOR THE YEAR","958721","TOTAL PAYEMENTS FOR THE YEAR","966719","27401"

"BALANCE AS ON DATE","-7998"
"FOR MIN BALANCE IN ACCOUNT ","10000"
"AMOUNT AVALIABLE FOR SPENDING ","-17998"
